School Name,Mid-Career 25th Percentile Salary,Mid-Career Median Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Princeton University,"$100,000.00","$131,000.00","$190,000.00","$261,000.00"
Harvard University,"$86,200.00","$124,000.00","$179,000.00","$288,000.00"
Columbia University,"$71,900.00","$107,000.00","$161,000.00","$241,000.00"
Massachusetts Institute of Technology (MIT),"$99,200.00","$126,000.00","$168,000.00","$220,000.00"
Yale University,"$80,600.00","$126,000.00","$198,000.00","$326,000.00"
Stanford University,"$93,100.00","$129,000.00","$184,000.00","$257,000.00"
University Of Chicago,"$83,300.00","$113,000.00","$174,000.00","$255,000.00"
University of Pennsylvania,"$79,200.00","$120,000.00","$192,000.00","$282,000.00"
California Institute of Technology (CIT),"$104,000.00","$123,000.00","$161,000.00",N/A
Northwestern University,"$69,100.00","$95,900.00","$144,000.00","$205,000.00"
Duke University,"$77,400.00","$106,000.00","$149,000.00","$218,000.00"
Dartmouth College,"$90,200.00","$134,000.00","$234,000.00","$321,000.00"
Brown University,"$74,400.00","$109,000.00","$159,000.00","$228,000.00"
Vanderbilt University,"$68,100.00","$104,000.00","$147,000.00","$222,000.00"
Rice University,"$82,100.00","$110,000.00","$141,000.00","$216,000.00"
Cornell University,"$79,800.00","$110,000.00","$160,000.00","$210,000.00"
University of Notre Dame,"$85,100.00","$116,000.00","$163,000.00","$235,000.00"
University of California at Los Angeles (UCLA),"$72,500.00","$101,000.00","$139,000.00","$193,000.00"
Emory University,"$63,300.00","$91,600.00","$128,000.00","$192,000.00"
"University of California, Berkeley","$81,000.00","$112,000.00","$149,000.00","$201,000.00"
Georgetown University,"$85,800.00","$110,000.00","$174,000.00","$248,000.00"
University of Southern California (USC),"$73,800.00","$99,600.00","$140,000.00","$201,000.00"
Carnegie Mellon University (CMU),"$80,100.00","$111,000.00","$150,000.00","$209,000.00"
University of Virginia (UVA),"$71,800.00","$103,000.00","$146,000.00","$215,000.00"
University of North Carolina at Chapel Hill (UNCH),"$57,500.00","$81,500.00","$117,000.00","$155,000.00"
New York University (NYU),"$65,000.00","$95,600.00","$142,000.00","$216,000.00"
"University of California, Santa Barbara (UCSB)","$71,200.00","$95,000.00","$129,000.00","$173,000.00"
University of Florida (UF),"$62,900.00","$87,900.00","$120,000.00","$172,000.00"
